name,coordinates,open_time,close_time,spending_time,slug_category,average_rating,latitude,longitude
sina-shopping-center-in-shiraz,"[52.4950282, 29.6351132]",600,1320,180,shopping,4.2,52.4950282,29.6351132
berentin-restaurant-in-shiraz,"[52.4995052, 29.6271492]",750,1440,60,food,4.166666666666667,52.4995052,29.6271492
parhami-traditional-house-in-shiraz,"[52.5490158, 29.6104982]",720,1439,60,food,4.083333333333333,52.5490158,29.6104982
sarayeh-mehr-traditional-restaurant-in-shiraz,"[52.5468732, 29.6130982]",600,1320,60,food,4.571428571428571,52.5468732,29.6130982
haft-khan-restaurant-in-shiraz,"[52.5566579, 29.6326667]",390,1470,60,food,3.121212121212121,52.5566579,29.6326667
shah-abbasi-restaurant-in-shiraz,"[52.543004, 29.6198115]",960,1440,60,food,3.5714285714285716,52.543004,29.6198115
tooba-restaurant-in-shiraz,"[52.4585382, 29.679436]",480,1440,60,food,3.142857142857143,52.4585382,29.679436
pamchal-fast-food-in-shiraz,"[52.5024711, 29.6249444]",720,1440,60,food,4.166666666666667,52.5024711,29.6249444
shandiz-restaurant-in-shiraz,"[52.5571776, 29.635627]",720,1530,60,food,4.25,52.5571776,29.635627
rotte-restaurant-in-shiraz,"[52.5319098, 29.6341782]",480,1440,60,food,4.142857142857143,52.5319098,29.6341782
balo-persian-cuisine-in-shiraz,"[52.5396724, 29.6125637]",510,1410,60,food,4.0,52.5396724,29.6125637
dragon-chinese-restaurant-in-shiraz,"[52.5440523, 29.6280115]",720,1650,60,food,3.5,52.5440523,29.6280115
pizza-110-in-shiraz,"[52.5365769, 29.6187152]",570,1440,60,food,3.272727272727273,52.5365769,29.6187152
palazzo-cafe-shiraz,"[52.5051367, 29.629873]",510,1440,60,food,3.6,52.5051367,29.629873
baghe-raaz-restaurant-shiraz,"[52.4800392, 29.6663082]",480,1380,60,food,4.714285714285714,52.4800392,29.6663082
jamshidian-icecream-shiraz,"[52.5454925, 29.6178659]",420,1260,120,urban_attractions,4.666666666666667,52.5454925,29.6178659
zand-icecream-shiraz,"[52.5456582, 29.6178812]",540,1380,120,urban_attractions,4.333333333333333,52.5456582,29.6178812
fakhrabad-icecream-shiraz,"[52.5265587, 29.6099695]",510,1320,120,urban_attractions,4.571428571428571,52.5265587,29.6099695
hani-mani-icecream-shiraz,"[52.5253338, 29.6252563]",540,1410,120,urban_attractions,3.75,52.5253338,29.6252563
lemon-mint-icecream-shiraz,"[52.4599836, 29.6422741]",480,1500,120,urban_attractions,4.142857142857143,52.4599836,29.6422741
macklly-icecream-shiraz,"[52.4616891, 29.6740668]",660,1440,120,urban_attractions,4.428571428571429,52.4616891,29.6740668
laberit-italian-icecream-shiraz,"[52.4694142, 29.6844616]",540,1500,120,urban_attractions,4.555555555555555,52.4694142,29.6844616
baam-caffee-shop-in-shiraz,"[52.5066388, 29.6385332]",540,1380,60,food,3.3,52.5066388,29.6385332
baharan-restaurant-in-shiraz,"[52.5213017, 29.6302863]",660,1380,60,food,3.125,52.5213017,29.6302863
shater-abbas-restaurant-in-shiraz,"[52.5363304, 29.6316443]",690,1410,60,food,3.4444444444444446,52.5363304,29.6316443
pizza-naple-in-shiraz,"[52.4920828, 29.6669044]",720,1440,60,food,4.0,52.4920828,29.6669044
della-steakhouse-restaurant-in-shiraz,"[52.5565218, 29.6292512]",510,1410,60,food,4.444444444444445,52.5565218,29.6292512
kateh-mas-restaurant-in-shiraz,"[52.5405808, 29.6139992]",480,1380,60,food,2.973684210526316,52.5405808,29.6139992
entezari-shopping-mall-in-shiraz,"[52.5382612, 29.632146]",540,1320,180,shopping,3.0,52.5382612,29.632146
asbe-sefid-equestrian-club-in-shiraz,"[52.4633738, 29.7315212]",600,1260,120,urban_attractions,4.2,52.4633738,29.7315212
kolbe-icecream-shiraz,"[52.5675788, 29.616021]",540,1320,120,urban_attractions,4.444444444444445,52.5675788,29.616021
tooka-shopping-center-shiraz,"[52.6150869, 29.5727931]",510,1290,180,shopping,3.6666666666666665,52.6150869,29.5727931
